siteID,Date,Tmean,Tmax,Tmin,SOS,PhenoYear
US-Ha1,1991-09-13,12.985,,,152,1992
US-Ha1,1991-09-14,14.001,,,152,1992
US-Ha1,1991-09-15,14.402,,,152,1992
US-Ha1,1991-09-16,13.365,,,152,1992
US-Ha1,1991-09-17,10.163,,,152,1992
US-Ha1,1991-09-18,9.24,,,152,1992
US-Ha1,1991-09-19,10.993,,,152,1992
US-Ha1,1991-09-20,12.744,,,152,1992
US-Ha1,1991-09-21,13.513,,,152,1992
US-Ha1,1991-09-22,14.044,,,152,1992
US-Ha1,1991-09-23,14.632,,,152,1992
US-Ha1,1991-09-24,13.935,,,152,1992
US-Ha1,1991-09-25,12.791,,,152,1992
US-Ha1,1991-09-26,10.806,,,152,1992
US-Ha1,1991-09-27,9.991,,,152,1992
US-Ha1,1991-09-28,9.734,,,152,1992
US-Ha1,1991-09-29,9.551,,,152,1992
US-Ha1,1991-09-30,9.41,,,152,1992
US-Ha1,1991-10-01,9.594,,,152,1992
US-Ha1,1991-10-02,9.757,,,152,1992
US-Ha1,1991-10-03,9.11,,,152,1992
US-Ha1,1991-10-04,9.403,,,152,1992
US-Ha1,1991-10-05,9.63,,,152,1992
US-Ha1,1991-10-06,10.048,,,152,1992
US-Ha1,1991-10-07,9.618,,,152,1992
US-Ha1,1991-10-08,8.442,,,152,1992
US-Ha1,1991-10-09,7.433,,,152,1992
US-Ha1,1991-10-10,8.105,,,152,1992
US-Ha1,1991-10-11,6.936,,,152,1992
US-Ha1,1991-10-12,5.442,,,152,1992
US-Ha1,1991-10-13,4.141,,,152,1992
US-Ha1,1991-10-14,4.697,,,152,1992
US-Ha1,1991-10-15,5.624,,,152,1992
US-Ha1,1991-10-16,7.238,,,152,1992
US-Ha1,1991-10-17,8.427,,,152,1992
US-Ha1,1991-10-18,7.435,,,152,1992
US-Ha1,1991-10-19,7.091,,,152,1992
US-Ha1,1991-10-20,7.213,,,152,1992
US-Ha1,1991-10-21,8.463,,,152,1992
US-Ha1,1991-10-22,7.461,,,152,1992
US-Ha1,1991-10-23,7.644,,,152,1992
US-Ha1,1991-10-24,7.797,,,152,1992
US-Ha1,1991-10-25,8.522,,,152,1992
US-Ha1,1991-10-26,8.8,,,152,1992
US-Ha1,1991-10-27,8.842,,,152,1992
US-Ha1,1991-10-28,7.131,,,152,1992
US-Ha1,1991-10-29,3.542,,,152,1992
US-Ha1,1991-10-30,7.742,,,152,1992
US-Ha1,1991-10-31,7.292,,,152,1992
US-Ha1,1991-11-01,9.037,,,152,1992
US-Ha1,1991-11-02,10.45,,,152,1992
US-Ha1,1991-11-03,7.508,,,152,1992
US-Ha1,1991-11-04,1.596,,,152,1992
US-Ha1,1991-11-05,0.41,,,152,1992
US-Ha1,1991-11-06,2.633,,,152,1992
US-Ha1,1991-11-07,4.887,,,152,1992
US-Ha1,1991-11-08,1.745,,,152,1992
US-Ha1,1991-11-09,-0.858,,,152,1992
US-Ha1,1991-11-10,0.495,,,152,1992
US-Ha1,1991-11-11,0.979,,,152,1992
US-Ha1,1991-11-12,0.183,,,152,1992
US-Ha1,1991-11-13,1.525,,,152,1992
US-Ha1,1991-11-14,4.879,,,152,1992
US-Ha1,1991-11-15,5.171,,,152,1992
US-Ha1,1991-11-16,6.254,,,152,1992
US-Ha1,1991-11-17,-1.115,,,152,1992
US-Ha1,1991-11-18,3.071,,,152,1992
US-Ha1,1991-11-19,11.117,,,152,1992
US-Ha1,1991-11-20,12.695,,,152,1992
US-Ha1,1991-11-21,13.042,,,152,1992
US-Ha1,1991-11-22,7.396,,,152,1992
US-Ha1,1991-11-23,5.776,,,152,1992
US-Ha1,1991-11-24,4.375,,,152,1992
US-Ha1,1991-11-25,0.267,,,152,1992
US-Ha1,1991-11-26,-2.102,,,152,1992
US-Ha1,1991-11-27,-2.7,,,152,1992
US-Ha1,1991-11-28,3.546,,,152,1992
US-Ha1,1991-11-29,4.429,,,152,1992
US-Ha1,1991-11-30,8.054,,,152,1992
US-Ha1,1991-12-01,8.883,,,152,1992
US-Ha1,1991-12-02,3.998,,,152,1992
US-Ha1,1991-12-03,-2.913,,,152,1992
US-Ha1,1991-12-04,-1.13,,,152,1992
US-Ha1,1991-12-05,2.329,,,152,1992
US-Ha1,1991-12-06,-3.862,,,152,1992
US-Ha1,1991-12-07,-1.487,,,152,1992
US-Ha1,1991-12-08,1.535,,,152,1992
US-Ha1,1991-12-09,0.614,,,152,1992
US-Ha1,1991-12-10,1.768,,,152,1992
US-Ha1,1991-12-11,4.063,,,152,1992
US-Ha1,1991-12-12,4.487,,,152,1992
US-Ha1,1991-12-13,8.133,,,152,1992
US-Ha1,1991-12-14,7.667,,,152,1992
US-Ha1,1991-12-15,-2.95,,,152,1992
US-Ha1,1991-12-16,-2.032,,,152,1992
US-Ha1,1991-12-17,-4.87,,,152,1992
US-Ha1,1991-12-18,-2.488,,,152,1992
US-Ha1,1991-12-19,-1.871,,,152,1992
US-Ha1,1991-12-20,-2.577,,,152,1992
US-Ha1,1991-12-21,-1,,,152,1992
US-Ha1,1991-12-22,-1.095,,,152,1992
US-Ha1,1991-12-23,0.383,,,152,1992
US-Ha1,1991-12-24,-3.09,,,152,1992
US-Ha1,1991-12-25,-2.932,,,152,1992
US-Ha1,1991-12-26,-2.69,,,152,1992
US-Ha1,1991-12-27,-1.708,,,152,1992
US-Ha1,1991-12-28,0.575,,,152,1992
US-Ha1,1991-12-29,2.567,,,152,1992
US-Ha1,1991-12-30,-2.333,,,152,1992
US-Ha1,1991-12-31,-3.146,,,152,1992
US-Ha1,1992-01-01,0.712,,,152,1992
US-Ha1,1992-01-02,-1.185,,,152,1992
US-Ha1,1992-01-03,0.444,,,152,1992
US-Ha1,1992-01-04,0.871,,,152,1992
US-Ha1,1992-01-05,2.542,,,152,1992
US-Ha1,1992-01-06,1.046,,,152,1992
US-Ha1,1992-01-07,0.137,,,152,1992
US-Ha1,1992-01-08,-4.204,,,152,1992
US-Ha1,1992-01-09,-2.113,,,152,1992
US-Ha1,1992-01-10,-1.144,,,152,1992
US-Ha1,1992-01-11,-1.807,,,152,1992
US-Ha1,1992-01-12,-2.124,,,152,1992
US-Ha1,1992-01-13,3.638,,,152,1992
US-Ha1,1992-01-14,5.708,,,152,1992
US-Ha1,1992-01-15,-6.397,,,152,1992
US-Ha1,1992-01-16,-3.513,,,152,1992
US-Ha1,1992-01-17,-4.972,,,152,1992
US-Ha1,1992-01-18,-5.682,,,152,1992
US-Ha1,1992-01-19,-2.364,,,152,1992
US-Ha1,1992-01-20,-3.843,,,152,1992
US-Ha1,1992-01-21,-4.017,,,152,1992
US-Ha1,1992-01-22,-6.825,,,152,1992
US-Ha1,1992-01-23,0.992,,,152,1992
US-Ha1,1992-01-24,0.556,,,152,1992
US-Ha1,1992-01-25,-1.505,,,152,1992
US-Ha1,1992-01-26,-2.069,,,152,1992
US-Ha1,1992-01-27,-3.16,,,152,1992
US-Ha1,1992-01-28,-4.429,,,152,1992
US-Ha1,1992-01-29,-2.279,,,152,1992
US-Ha1,1992-01-30,-2.128,,,152,1992
US-Ha1,1992-01-31,-3.245,,,152,1992
US-Ha1,1992-02-01,-2.111,,,152,1992
US-Ha1,1992-02-02,-3.886,,,152,1992
US-Ha1,1992-02-03,-5.218,,,152,1992
US-Ha1,1992-02-04,-4.492,,,152,1992
US-Ha1,1992-02-05,-6.042,,,152,1992
US-Ha1,1992-02-06,-6.461,,,152,1992
US-Ha1,1992-02-07,-5.133,,,152,1992
US-Ha1,1992-02-08,-3.417,,,152,1992
US-Ha1,1992-02-09,-7.141,,,152,1992
US-Ha1,1992-02-10,-6.935,,,152,1992
US-Ha1,1992-02-11,-3.265,,,152,1992
